budgetId,userId,name,balance,budgetLimit,date,note
1,1,"rrgZuX",471.7,1500,2010-12-05,"lGladVNZET"
2,1,"hBurmn",-116.43,1230.66,2009-05-29,"kGmBwALtuV"
3,1,"QqHRWj",257.78,1500,2016-06-26,"YaGgIpEsho"
4,1,"LdEWpZ",-454.37,1145.6399999999999,2020-04-03,"yXfzqGBFUZ"
5,1,"ELmDxb",411.18,1500,2013-04-15,"ZlTVLElsaL"
6,1,"MPobIz",-69.74,1500,2011-06-08,"ssjWpDrlrZ"
7,1,"PPZtAC",-133.27,1500,2008-10-29,"ijJpGgHiwZ"
8,1,"MiGjZO",-216.07,1500,2020-03-23,"xZFtmMdPau"
9,1,"mZIzQh",-181.68,1054.94,2013-02-23,"zBEpFUPAiy"
10,1,"BiQcNh",245.63,1500,2009-11-26,"tnBVTvtegr"
11,1,"dbGlwT",-434.98,1375.44,2017-05-10,"QpjNHRANXk"
12,1,"oxiutk",454.41,1500,2020-10-30,"bzZrVezlvA"
13,1,"pAzeFp",-254.5,1063.84,2020-01-24,"bBcPyYleML"
14,1,"vbQtvF",-183.1,973.08,2015-02-16,"nskuvFfliP"
15,1,"bGcMgx",65.54,1500,2021-08-23,"NYTkckXoLM"
16,1,"oIxjvd",-395.77,648.94,2008-08-15,"nrdADOJOoJ"
17,1,"hscHGx",-130.8,1500,2009-03-30,"SpqrNqaLnQ"
18,1,"CcvHXI",-279.52,1152.29,2015-09-06,"zmmabUXPCc"
19,1,"DglxJP",-343.83,1088.76,2019-05-12,"iFqfufaSsU"
20,1,"bstYps",305.35,1500,2020-10-03,"VpuWlSxjtI"
21,1,"yEQZPa",483.82,1500,2016-04-30,"zAHKpgGRBH"
22,1,"LYFxDr",250.84,1500,2017-06-28,"SdUQRCjKQG"
23,1,"lqOopc",-256.07,1500,2022-12-14,"pAYFwUzFkY"
24,1,"Sbaoyy",-366.98,1168.88,2012-11-08,"MaqlcGmkrN"
25,1,"JWzNPF",361.45,1500,2021-12-15,"omiivdYDos"
26,1,"mChJyC",132.57,1500,2017-08-13,"WhuCdPvXqE"
27,1,"YYwqKm",111.74,1264.41,2017-07-27,"QHvssIGhJX"
28,1,"BYkfZf",-361.91,1500,2016-08-18,"TuZuDKlAZo"
29,1,"YWXHyK",-331.97,1240.34,2013-01-27,"KtgmJmzfwF"
30,1,"CGALbC",495.22,1500,2020-08-24,"WiKKmIYZQG"
31,1,"EjqfPE",276.55,1500,2019-12-29,"LVVaUyYxND"
32,1,"wzugnH",-472.93,1474.96,2011-07-12,"QxrUnVIABW"
33,1,"vBXChE",418.87,1500,2018-11-05,"WYPFkvhVZp"
34,1,"mYUqUw",-382.17,920.31,2014-04-03,"UOoXlMmdsy"
35,1,"FHoErL",-463.41,842.9,2021-05-12,"PbOBbAjskN"
36,1,"JIYxGG",192.26,1500,2019-03-19,"zosIAnvkvA"
37,1,"emAAsq",-77.77,1355.28,2017-07-18,"mWjNoEyJHA"
38,1,"MOlMUG",352.79,1500,2012-05-13,"iKGaKwqYvO"
39,1,"LrhNOw",-280.3,1500,2019-01-31,"WfjgMxABMp"
40,1,"pPIFOy",-92.43,968.93,2008-01-21,"DEaHKOQvQG"
41,1,"Prvbps",-498.32,949.41,2017-03-26,"vFyBwKIqnS"
42,1,"JYXaBc",295.15,1325.95,2019-03-10,"OOIitCQsTC"
43,1,"SyhFKX",205.93,1500,2016-02-01,"UlMbmaTqhV"
44,1,"zzXNAo",-408.85,1500,2008-04-23,"ZzQrTNsDBj"
45,1,"RGCIUb",170.11,1500,2010-07-05,"OYdiENKOiv"
46,1,"sTbblQ",-273.03,894.39,2018-06-29,"fmEBIgmSCu"
47,1,"UxKXCo",-89.37,1500,2022-05-24,"GMnzQKbZBL"
48,1,"iweDqp",-95.86,1500,2016-12-02,"vlHqQVDIWX"
49,1,"RHJYKE",-300.2,848.6800000000001,2019-07-28,"dPFapdiEvi"
50,1,"DQbNVi",-334.85,946.63,2015-08-10,"NPNEyePueK"
51,1,"CqvUOS",-33.35,1500,2013-06-09,"FmNQtkSCUJ"
52,1,"aNnHvx",304.28,1500,2013-09-11,"OsXlgaBdAd"
53,1,"flxRwG",-329.45,1500,2011-04-15,"jjVZZRBRwP"
54,1,"nbvWZa",-124.39,1314.27,2021-10-25,"nEffYIFuyR"
55,1,"EHpycu",433.75,1500,2021-10-02,"TBALCYwySq"
56,1,"NpXUxi",-323.26,1378.58,2012-02-02,"oTllvvNJiG"
57,1,"bxRdqk",88.65,1500,2017-04-19,"EjmLqlUOyf"
58,1,"mIyFVH",202.47,1465.68,2017-07-26,"XeihzUCThF"
59,1,"IsYSyI",249.03,1500,2011-09-23,"uiuZPPkNuT"
60,1,"dUnUCw",250.78,1500,2012-11-02,"nWWqHjQlnO"
61,1,"JPXeZI",269.33,1498.09,2015-05-04,"fGTerzKpKb"
62,1,"iKncYi",-263.93,1036.05,2012-06-07,"QzJyDvRHxz"
63,1,"UHQNmD",290.78,1315.1100000000001,2020-06-14,"Xzzmnzahdp"
64,1,"hegBVt",-196.09,1500,2022-11-16,"IKVRNoEfyn"
65,1,"eiPKMf",320.69,1379.38,2012-05-10,"REEaMrmCYB"
66,1,"ZCOdzJ",-359.09,1014.71,2013-11-11,"ChPKCDTXAU"
67,1,"nURkSk",-312.19,1311.84,2018-07-15,"wztPMbjGjC"
68,1,"wbmnLE",483.86,1500,2008-01-19,"lNZkhMSuRa"
69,1,"yPGlKo",406.64,1500,2020-04-25,"JoNOYWqWMO"
70,1,"tYGYFh",400.77,1500,2019-04-12,"NNVxZThxYr"
71,1,"eyLQzF",-5.76,1500,2015-05-09,"vGbGsXxQpD"
72,1,"geBPiV",-81.92,1482.72,2013-08-06,"fueXTxKGZe"
73,1,"UdArxg",-86.52,1500,2016-10-04,"cWdKzEwksy"
74,1,"cQMLzQ",94.99,1500,2009-12-11,"ArkSLnLlMK"
75,1,"hMqtml",387.2,1500,2022-03-08,"dHKtqNEJYA"
76,1,"NEJltw",469.85,1500,2008-08-09,"vLYlSxkXLI"
77,1,"nqhMLh",175.54,1500,2022-12-10,"FghSJfdbeG"
78,1,"AdFwzA",9.01,1500,2019-09-18,"kQZOdMAMzX"
79,1,"IUURDp",-379.91,1500,2015-08-27,"ESDPgkYaBB"
80,1,"YrjqQY",312.26,1500,2011-11-29,"orLEQnGLvd"
81,1,"RMPOsB",256.53,1500,2017-03-31,"rbjucPmNjk"
82,1,"ZRvuvu",311.75,1500,2014-12-02,"alLclrpFKo"
83,1,"qCqJCs",291.42,1500,2018-01-12,"LyuWgeTSPO"
84,1,"porPIN",436.44,1500,2013-06-21,"TReQRVfaXC"
85,1,"UyRfuG",-248.28,1497.93,2008-11-02,"qSJGKJtouS"
86,1,"VsXBNl",1.73,1500,2022-01-23,"YnzGYGURwH"
87,1,"EWgtsI",294.71,1500,2008-02-29,"LupqkMIxWm"
88,1,"JaFREp",120.06,1500,2014-12-05,"fgQVLpIQne"
89,1,"sdtwEy",-194.36,1303.66,2020-12-22,"smVCKtilpx"
90,1,"IsWuIb",-301.1,1450.19,2021-10-24,"YRQTnJRFnF"
91,1,"pNJPZJ",249.06,1500,2019-08-08,"snSyKmVOfc"
92,1,"RYJjNZ",-136.27,1500,2011-05-11,"jTiZQkjUoM"
93,1,"cvJwzK",106.76,1500,2021-12-20,"njfLYrIxAz"
94,1,"kdCtOj",-110.56,1351.77,2009-10-20,"RoBPeqwBNK"
95,1,"NgwTgC",28.34,1500,2009-04-19,"PhCaTRoVAz"
96,1,"nhNQYq",-17.74,1253.25,2012-04-28,"YRTvXWnXdg"
97,1,"SCiXYu",454.42,1500,2016-02-08,"FlAOKWJuQv"
