expenseId,budgetId,name,amount,type,date,to,note
1,256,"jSGnvK",423.67,"other",2021-11-29,"AkuGWj","UNBqjurqCs"
2,256,"pTcSHs",273.23,"gas",2013-10-16,"SmjAyO","LzBdkPJXrq"
3,7,"tWYojC",499.14,"gas",2018-09-18,"ausHCM","mFNpcsRvVi"
4,99,"DygMOw",464.42,"rent",2020-04-05,"tiLDNP","voHnpOPNKR"
5,258,"kpmUDQ",336.44,"entertainment",2014-07-19,"uUzmyk","CgkwKBopfp"
6,872,"RooKZc",192.8,"clothing",2019-03-04,"nQJjfp","AkfKXPBnSR"
7,77,"elWCrl",17.01,"gas",2020-07-26,"exsTmf","FlXAHTgpGM"
8,701,"vkRZHn",133.04,"gas",2012-10-30,"QAePRQ","lwxLoaEcPb"
9,375,"xkquyL",218.71,"other",2018-12-08,"prDJJQ","dzzmLpZbPU"
10,857,"TqtCbh",414.69,"gas",2009-07-25,"HlINfy","CvDrKMuyfR"
11,759,"ePfaxb",348.94,"groceries",2013-10-18,"JiEnFW","RdvzwHVMVw"
12,995,"XiuoUe",386.23,"entertainment",2009-07-25,"tLEhSr","uBISfXpWXY"
13,533,"Uyyzcy",407.87,"clothing",2008-11-15,"SaAHtA","LlyZSplPsv"
14,590,"yAzPUX",418.57,"rent",2021-11-17,"dXfLMb","dcaFERcJCN"
15,175,"zDMKVg",283.53,"clothing",2012-02-17,"NjnETe","AWUbaJqpYD"
16,9,"IvPqtI",392.21,"gas",2015-04-09,"WnhnQf","fkyeLZpZrq"
17,768,"hagkfJ",64.08,"gas",2012-12-23,"demrDA","lPkSKsvWsP"
18,44,"xdqCHq",81.36,"gas",2016-02-25,"qKjTUH","klPwfLhzDx"
19,851,"XfBCat",309.32,"clothing",2012-08-19,"gwXrdP","GPczHXRopy"
20,893,"PnoPXP",169.17,"entertainment",2021-04-16,"HvIVsD","obHgdBRzym"
21,58,"PdVNlS",241.83,"gas",2013-04-25,"NZGKBl","KEJdFNLbWk"
22,595,"omavgd",97.01,"entertainment",2017-01-22,"gimZMa","kvKhOIuAmo"
23,723,"supauV",261.17,"clothing",2009-08-11,"wBgZCP","YyVivGKDJe"
24,970,"QhSGlE",322.3,"other",2018-12-20,"ONqjBc","rlBezAjYzc"
25,480,"PWxspA",2.41,"gas",2016-09-08,"sDkOPe","bwGIrZNjNy"
26,865,"QnFCmd",124.97,"gas",2019-11-11,"NriOwK","lvFtPtHllX"
27,306,"xTVjLj",468.65,"groceries",2010-11-07,"TnDpTw","IxhJOSmNDb"
28,303,"uHfIAn",228.55,"other",2014-11-14,"BbIAsp","lVxIDOjtVN"
29,891,"jnQlum",314.72,"gas",2010-07-01,"CyaXVr","bIvPwCzSUE"
30,58,"QVoeIp",198.17,"gas",2012-07-25,"SWaRiI","QJAglgZmod"
31,811,"NpNonr",49.8,"entertainment",2009-05-22,"SmEpNH","MjCfiDdHmb"
32,380,"UPeBue",212.84,"gas",2017-02-24,"uvaaBV","gBgJFEiXYa"
33,96,"OoihRL",246.82,"clothing",2011-08-02,"yGmpGf","MWlNrbaeJE"
34,667,"LiitYO",244.31,"groceries",2013-01-27,"moOsmq","fviRBDabPL"
35,71,"IRWyrv",60.25,"gas",2017-05-20,"YzeLlU","RziGkZXiLK"
36,812,"buIevE",73.9,"rent",2020-11-25,"IeDgnr","TZlQcpdHAx"
37,568,"gFhlNA",81.36,"gas",2009-09-04,"eaHIYq","tveCUXmqYV"
38,631,"bagqWP",437.96,"groceries",2015-08-07,"dBecoT","ktxMxiHQbG"
39,120,"zAJLJz",311.18,"entertainment",2018-12-30,"sxYWoI","EGTUvnEvQT"
40,309,"FKFhSO",361.05,"clothing",2009-02-20,"dotnJj","mYvGFgDmIc"
41,372,"jSjYOu",463.17,"clothing",2011-11-06,"uhPyHh","iMsOIUFBkU"
42,678,"oXIdpu",378.21,"rent",2014-07-07,"seidfR","ryaAAerMef"
43,387,"ZCByUv",6.08,"rent",2011-07-14,"hIWGEU","BjbhJuMOrj"
44,155,"IbJVWa",115.1,"gas",2021-04-03,"jdbEdD","ulxIDprwCW"
45,707,"kJxsqG",211.73,"gas",2019-02-09,"nnBBJm","TBIcONWbQS"
46,255,"ebjaFh",28.96,"rent",2012-02-14,"hDobNj","RzCpJiQyQU"
