incomeId,budgetId,name,amount,type,date,from,note
1,636,"qhcnlX",69.21,"other",2012-11-10,"oqihGP","VhvekcFEuA"
2,414,"glTTIS",322.73,"other",2019-09-14,"xVykTT","LEfMzKSUqe"
3,236,"oawcsa",97.6,"salary",2021-06-16,"znRoYZ","QDspVjQQmH"
4,747,"tTPqlB",206.82,"investment",2008-04-20,"WsUFby","ZtnpoAZEgZ"
5,556,"GLxiZL",470.33,"other",2014-07-07,"KnaZon","LvCVwttyEq"
6,35,"XhOcUi",12.56,"interest",2015-02-10,"HoOZRD","scVjCPNRSG"
7,695,"middJi",155.64,"other",2009-08-12,"EswpnZ","YSHMOEBVmw"
8,563,"ECCQQI",67.67,"clothing",2010-01-10,"XOOJfX","PNKcDxzJim"
9,85,"KGuSuY",284.82,"gift",2009-06-20,"CiFwwn","DhYkylKvYU"
10,919,"tzYjVX",412.14,"gift",2019-09-26,"WTImhL","loGCZLCEBN"
11,557,"QZoJNY",193.35,"investment",2014-12-11,"ueVrhp","RJDpsedjbQ"
12,848,"PpxdvA",27.36,"investment",2021-01-29,"ZztaEG","QdyrVguIfr"
13,237,"YwxcwF",315.73,"interest",2016-08-10,"eqLZCt","XKsRkoKDPr"
14,341,"uTsmmk",330.25,"interest",2011-03-04,"ikOKkm","leuyCinlmJ"
15,741,"OoQYMZ",119.1,"clothing",2009-03-17,"yKheXh","QSFojMQarb"
16,795,"hGORwV",109.44,"interest",2018-10-20,"edVjEr","bwcQpcookR"
17,590,"fZeEKD",290.99,"other",2015-11-10,"ZKocIh","NPsPDqzPLN"
18,39,"yIQHYq",152.59,"other",2015-06-28,"MrqGei","MPwdCkuBTk"
19,874,"LKZHoJ",224.34,"other",2015-08-19,"lbCeDB","NSBLHHVPqg"
20,88,"xxKAxc",294.85,"gift",2021-10-05,"oYtNtA","mfsztcDIoa"
21,948,"OVSLSx",315.0,"clothing",2008-03-18,"gsBtik","GYzKnIrjoG"
22,970,"svKSdx",474.77,"clothing",2009-10-15,"lxFYSg","uNdaipnVle"
23,133,"ydcwkb",301.62,"interest",2011-05-16,"IqlDPU","sdvLoaXJcn"
24,157,"tijLhp",71.97,"other",2017-12-17,"kPvpay","AdVpBsAUmM"
25,976,"svYwNL",202.86,"investment",2018-09-18,"mgIwaT","zGuohlJPas"
26,770,"YAQkzS",166.42,"interest",2019-12-01,"DDLuQM","qfHoSkdWnY"
27,499,"wcBRwT",390.33,"clothing",2010-02-14,"uUnbDB","iGtTlNqcoG"
28,935,"DojXsM",304.82,"clothing",2013-12-01,"hbDaiD","vivbZUpQXI"
29,655,"tOMLWY",137.92,"investment",2020-11-05,"PHtgpn","GDPfrXsemj"
30,681,"JcuANy",156.35,"interest",2021-01-26,"xIaXLZ","MtaKNMgGiJ"
31,438,"Szbofn",417.13,"interest",2021-07-01,"DlLJmR","BmPzwAkgnO"
32,691,"YOyJHv",93.89,"salary",2021-12-06,"svCpWX","qUSdINswuS"
33,340,"UZxKek",183.62,"investment",2016-03-19,"TAnCgW","xntoDNuPjP"
34,605,"hIZJOc",203.65,"gift",2011-09-18,"OshEXH","FSoORfGMOE"
35,395,"xrTGXS",330.63,"investment",2020-07-21,"hmJFcz","mflraqyJav"
36,257,"najGNF",497.68,"clothing",2018-12-07,"wiLAJO","UIaLZBlblX"
37,765,"xUSUMP",170.13,"gift",2018-05-27,"ZDxqIw","wFiagcTXap"
38,330,"DZZIwr",282.56,"gift",2008-03-25,"ELGSRi","OLMLpprPZd"
39,97,"UQnnGu",434.43,"other",2020-12-18,"KEgeue","DLxWLWpbGs"
40,157,"XMjxbd",288.64,"salary",2016-06-10,"cAxuVP","ajmTsBxbNr"
41,256,"GfkaOA",453.23,"gift",2015-07-14,"iZPeBZ","GeKBqftRtq"
42,59,"YKHSKw",402.86,"interest",2015-07-11,"crEgDu","aOXlSSWJrb"
43,49,"XaOfqD",130.28,"salary",2018-11-08,"CUgkWa","VGhQEVZoiU"
44,920,"NomCtU",250.53,"other",2018-12-07,"keHBZe","VfubaRgfWf"
45,348,"gusKNv",478.39,"investment",2008-08-22,"EXZmKp","wtoJwPikxg"
46,946,"QZuQvB",446.56,"gift",2017-08-10,"GCYycF","nwPPnLwdaM"
47,92,"rLtYlk",185.18,"investment",2009-11-23,"RpAFJm","fMiCVjMJSI"
48,725,"MImYHF",446.86,"salary",2009-01-22,"UnkntK","AatzFLtXir"
49,591,"EINInz",111.17,"investment",2019-09-06,"YbYefa","YIzKvKjPEt"
50,725,"MlchbR",292.49,"interest",2017-11-10,"FLirdf","qRQBniqDea"
51,633,"fbAOwU",424.61,"salary",2019-06-09,"PWcgqu","JQZWGoEkau"
52,518,"JLcjHx",78.06,"other",2010-09-16,"ohygPl","jYEbxqjnwT"
53,440,"yTanfC",7.16,"gift",2018-05-06,"qtYbVw","ySEGpdOZQj"
